party,candidate,vote,state,district
REP,Neil Young,183638,Pennsylvania,6
REP,Ryan Mackenzie,203688,Pennsylvania,7
DEM,Susan Wild,199626,Pennsylvania,7
REP,Rob Bresnahan,195663,Pennsylvania,8
DEM,Matt Cartwright,189411,Pennsylvania,8
REP,Dan Meuser,276212,Pennsylvania,9
DEM,Amanda Waldman,115523,Pennsylvania,9
REP,Scott Perry,205567,Pennsylvania,10
DEM,Janelle Stelson,200434,Pennsylvania,10
REP,Lloyd Smucker,253672,Pennsylvania,11
DEM,Jim Atkinson,149641,Pennsylvania,11
DEM,Summer Lee,234802,Pennsylvania,12
REP,James Hayes,181426,Pennsylvania,12
REP,John Joyce,301460,Pennsylvania,13
DEM,Beth Farnham,104823,Pennsylvania,13
REP,Guy Reschenthaler,268380,Pennsylvania,14
DEM,Chris Dziados,134755,Pennsylvania,14
REP,Glenn Thompson,279027,Pennsylvania,15
DEM,Zach Womer,111408,Pennsylvania,15
REP,Mike Kelly,256923,Pennsylvania,16
DEM,Preston Nouri,146709,Pennsylvania,16
DEM,Chris Deluzio,242838,Pennsylvania,17
REP,Rob Mercuri,207900,Pennsylvania,17
REP,Diana Harshbarger,257825,Tennessee,1
DEM,Kevin  Jenkins,64021,Tennessee,1
REP,Tim Burchett,250782,Tennessee,2
DEM,Jane George,111316,Tennessee,2
REP,Chuck Fleischmann,236519,Tennessee,3
DEM,Jack Allen,102841,Tennessee,3
REP,Scott DesJarlais,219133,Tennessee,4
DEM,Victoria Broderick,83832,Tennessee,4
REP,Andy Ogles,205075,Tennessee,5
DEM,Maryam Abolfazli,142387,Tennessee,5
REP,John Rose,225543,Tennessee,6
DEM,Lore Bergman,106144,Tennessee,6
REP,Mark Green,191992,Tennessee,7
DEM,Megan Barry,122764,Tennessee,7
REP,David Kustoff,240411,Tennessee,8
DEM,Sarah Freeman,85043,Tennessee,8
DEM,Steve Cohen,159522,Tennessee,9
REP,Charlotte Bergmann,57411,Tennessee,9
REP,Nathaniel Moran,258523,Texas,1
REP,Dan Crenshaw,214631,Texas,2
DEM,Peter Filler,112252,Texas,2
REP,Keith Self,237794,Texas,3
DEM,Sandeep Srivastava,142953,Texas,3
REP,Pat Fallon,241603,Texas,4
DEM,Simon Cardell,111696,Texas,4
REP,Lance Gooden,192185,Texas,5
DEM,Ruth Torres,107712,Texas,5
REP,Jake Ellzey,188119,Texas,6
DEM,John Love,98319,Texas,6
DEM,Lizzie Fletcher,149820,Texas,7
REP,Caroline Kane,94651,Texas,7
REP,Morgan Luttrell,233423,Texas,8
DEM,Laura Jones,108754,Texas,8
DEM,Al Green,184141,Texas,9
REP,Michael McCaul,221229,Texas,10
DEM,Theresa Boisseau,118280,Texas,10
REP,August Pfluger,211975,Texas,11
REP,Craig Goldman,215564,Texas,12
DEM,Trey Hunt,124154,Texas,12
REP,Ronny Jackson,240622,Texas,13
REP,Randy Weber,210320,Texas,14
DEM,Rhonda Hart,95875,Texas,14
REP,Monica De La Cruz,127804,Texas,15
DEM,Michelle Vallejo,95965,Texas,15
DEM,Veronica Escobar,131391,Texas,16
REP,Irene Armendariz Jackson,89281,Texas,16
REP,Pete Sessions,193101,Texas,17
DEM,Mark Lorenzen,97941,Texas,17
DEM,Sylvester Turner,151834,Texas,18
REP,Lana Centonze,66810,Texas,18
REP,Jodey Arrington,214950,Texas,19
IND,Nathan Lewis,27461,Texas,19
LIB,Bernard Johnson,23964,Texas,19
DEM,Joaquin Castro,157890,Texas,20
REP,Chip Roy,263744,Texas,21
DEM,Kristin Hook,153765,Texas,21
REP,Troy Nehls,209285,Texas,22
DEM,Marquette Greene-Scott,127604,Texas,22
REP,Tony Gonzales,180720,Texas,23
DEM,Santos Limon,109373,Texas,23
REP,Beth Van Duyne,227108,Texas,24
DEM,Sam Eppler,149518,Texas,24
REP,Roger Williams,263042,Texas,25
REP,Brandon Gill,241096,Texas,26
DEM,Ernest Lineberger,138558,Texas,26
REP,Michael Cloud,183980,Texas,27
DEM,Tanya Lloyd,94596,Texas,27
DEM,Henry Cuellar,125490,Texas,28
REP,Jay Furman,112117,Texas,28
DEM,Sylvia Garcia,99379,Texas,29
REP,Alan Garza,52830,Texas,29
DEM,Jasmine Crockett,197650,Texas,30
LIB,Jrmar Jefferson,35175,Texas,30
REP,John Carter,229087,Texas,31
DEM,Stuart Whitlow,126470,Texas,31
DEM,Julie Johnson,140536,Texas,32
REP,Darrell Day,85941,Texas,32
DEM,Marc Veasey,114289,Texas,33
REP,Patrick Gillespie,51864,Texas,33
DEM,Vicente Gonzalez,102780,Texas,34
REP,Mayra Flores,97603,Texas,34
DEM,Greg Casar,170509,Texas,35
REP,Steven Wright,82610,Texas,35
REP,Brian Babin,206009,Texas,36
DEM,Dayna Steele,91009,Texas,36
DEM,Lloyd Doggett,252980,Texas,37
REP,Jenny Garcia Sharon,80366,Texas,37
REP,Wesley Hunt,215030,Texas,38
DEM,Melissa McDonough,127640,Texas,38
REP,Rob Wittman,269657,Virginia,1
DEM,Leslie Mehta,208445,Virginia,1
REP,Jen Kiggans,207368,Virginia,2
DEM,Missy Cotter Smasal,191666,Virginia,2
DEM,Bobby Scott,219926,Virginia,3
REP,John Sitka,93801,Virginia,3
DEM,Jennifer McClellan,252885,Virginia,4
REP,Bill Moher,121814,Virginia,4
REP,John McGuire,249564,Virginia,5
DEM,Gloria Witt,184229,Virginia,5
REP,Ben Cline,255849,Virginia,6
DEM,Ken Mitchell,140099,Virginia,6
DEM,Eugene Vindman,203336,Virginia,7
REP,Derrick Anderson,192847,Virginia,7
DEM,Donald Beyer,274593,Virginia,8
REP,Jerry Torres,94676,Virginia,8
REP,Morgan Griffith,290645,Virginia,9
DEM,Karen Baker,109570,Virginia,9
DEM,Suhas Subramanyam,215131,Virginia,10
REP,Mike Clancy,196343,Virginia,10
DEM,Gerry Connolly,273529,Virginia,11
REP,Mike Van Meter,134802,Virginia,11
DEM,Suzan DelBene,227213,Washington,1
REP,Jeb Brewer,132538,Washington,1
DEM,Rick Larsen,263750,Washington,2
REP,Cody Hart,148167,Washington,2
DEM,Marie Gluesenkamp Perez,215177,Washington,3
REP,Joe Kent,199054,Washington,3
REP,Dan Newhouse,153477,Washington,4
REP,Jerrod Sessler,136175,Washington,4
REP,Michael Baumgartner,240619,Washington,5
DEM,Carmela Conroy,156074,Washington,5
DEM,Emily Randall,239687,Washington,6
REP,Drew MacEwen,182182,Washington,6
DEM,Pramila Jayapal,352286,Washington,7
REP,Dan Alexander,66220,Washington,7
DEM,Kim Schrier,224607,Washington,8
REP,Carmen Goers,190675,Washington,8
DEM,Adam Smith,182780,Washington,9
DEM,Melissa Chaudhry,90601,Washington,9
DEM,Marilyn Strickland,203732,Washington,10
REP,Don Hewett,143492,Washington,10
REP,Bryan Steil,212515,Wisconsin,1
DEM,Peter Barca,172402,Wisconsin,1
DEM,Mark Pocan,320317,Wisconsin,2
REP,Erik Olsen,136357,Wisconsin,2
REP,Derrick Van Orden,212064,Wisconsin,3
DEM,Rebecca Cooke,200808,Wisconsin,3
DEM,Gwen Moore,249938,Wisconsin,4
REP,Tim Rogers,74921,Wisconsin,4
REP,Scott Fitzgerald,300521,Wisconsin,5
DEM,Ben Steinhoff,165653,Wisconsin,5
REP,Glenn Grothman,251889,Wisconsin,6
DEM,John Zarbano,159042,Wisconsin,6
REP,Tom Tiffany,273553,Wisconsin,7
DEM,Kyle Kilbourn,156524,Wisconsin,7
REP,Tony Wied,240040,Wisconsin,8
DEM,Kristin Lyerly,178666,Wisconsin,8
DEM,John Larson,208649,Connecticut,1
REP,Jim Griffin,115065,Connecticut,1
DEM,Joe Courtney,218162,Connecticut,2
REP,Mike France,157878,Connecticut,2
DEM,Rosa DeLauro,193684,Connecticut,3
REP,Michael Massey,135113,Connecticut,3
DEM,Jim Himes,200791,Connecticut,4
REP,Michael Goldstein,122793,Connecticut,4
DEM,Jahana Hayes,180268,Connecticut,5
REP,George Logan,157258,Connecticut,5
DEM,Ed Case,164237,Hawaii,1
REP,Patrick Largey,64373,Hawaii,1
DEM,Jill Tokuda,166251,Hawaii,2
REP,Steve Bond,75471,Hawaii,2
REP,Russ Fulcher,331049,Idaho,1
DEM,Kaylee Peterson,118656,Idaho,1
REP,Mike Simpson,250119,Idaho,2
DEM,David Roth,126229,Idaho,2
