# source, target, id, weight
74,93,2229,-2
75,43,1909,1
75,102,1910,1
75,71,1911,1
75,49,1912,1
75,48,1913,1
75,47,1914,1
75,103,1915,1
75,70,1916,1
75,100,1917,-1
75,67,1918,-1
75,96,1919,-1
75,68,1920,-1
75,53,1921,-1
75,57,1922,-1
75,74,1923,-1
76,86,2303,1
76,74,2304,1
76,58,2305,1
76,53,2306,1
76,56,2307,1
76,70,2308,1
76,74,2309,2
76,87,2310,2
76,12,2311,-1
76,14,2312,-1
76,27,2313,-1
76,29,2314,-1
76,5,2315,-1
76,55,2316,-1
76,10,2317,-1
76,33,2318,-2
76,34,2319,-2
76,35,2320,-2
76,37,2321,-2
76,39,2322,-2
76,40,2323,-2
76,54,2324,-2
76,11,2325,-2
76,62,2326,-2
76,17,2327,-2
76,15,2328,-2
76,95,2329,-2
76,48,2330,-2
76,47,2331,-2
76,79,2332,-2
76,69,2333,-2
76,93,2334,-2
77,72,2230,1
77,88,2231,1
77,44,2232,1
77,89,2233,1
77,50,2234,1
77,93,2235,1
77,85,2236,1
77,51,2237,1
77,73,2238,1
77,44,2239,2
77,81,2240,-1
77,84,2241,-1
77,94,2242,-1
77,92,2243,-1
77,94,2244,-2
78,87,2353,-1
78,90,2354,-1
78,91,2355,-1
79,86,2288,1
79,83,2289,1
79,89,2290,1
79,77,2291,1
79,84,2292,1
79,50,2293,1
79,78,2294,1
79,51,2295,1
79,86,2296,2
79,69,2297,2
79,93,2298,2
79,94,2299,-1
79,81,2300,-1
79,76,2301,-1
79,92,2302,-1
80,7,1892,2
80,67,1893,2
80,53,1894,2
80,68,1895,2
80,57,1896,2
80,71,1897,2
80,84,1898,2
80,81,1899,2
80,20,1900,-1
80,74,1901,-1
80,95,1902,-1
80,23,1903,-1
80,83,1904,-1
80,37,1905,-2
80,24,1906,-2
80,13,1907,-2
80,23,1908,-2
82,14,1650,2
82,45,1651,-2
83,72,2261,1
83,88,2262,1
83,98,2263,1
83,89,2264,1
83,50,2265,1
83,93,2266,1
83,73,2267,1
83,69,2268,1
83,51,2269,1
83,77,2270,2
83,78,2271,2
83,44,2272,2
83,88,2273,2
83,87,2274,-1
